"Story","Title","Result","Date","Stability","Duration (s)"
"Iniciar Sesion en un Sitio Web STORE","Iniciar Sesion con Credenciales Validas","PENDING","2024-04-17T21:53:30.1966816-05:00[America/Bogota]","0.0","0.26"
"Registro de usuarios en DemoBlaze","Registro exitoso de un nuevo usuario","PENDING","2024-04-18T01:42:07.0024528-05:00[America/Bogota]","0.0","0.32"
"Registro de usuarios en DemoBlaze Aleatorios","Registro exitoso de un nuevo usuario de forma aleatoria","PENDING","2024-04-18T12:49:29.0683264-05:00[America/Bogota]","0.0","0.26"
